Fecha,DíaDeLaSemana,Promociones,Festivo,Ventas
2022-11-26,6,1,0,4185
2022-11-27,7,0,1,4167
2022-11-28,1,0,0,1591
2022-11-29,2,0,0,1943
2022-11-30,3,0,0,2520
2022-12-01,4,0,0,3068
2022-12-02,5,0,0,3386
2022-12-03,6,0,0,4088
2022-12-04,7,0,1,4198
2022-12-05,1,0,0,1477
2022-12-06,2,1,0,2218
2022-12-07,3,0,0,2565
2022-12-08,4,1,0,3254
2022-12-09,5,0,0,3465
2022-12-10,6,1,0,4404
2022-12-11,7,0,1,4300
2022-12-12,1,0,0,1553
2022-12-13,2,1,0,2174
2022-12-14,3,0,0,2515
2022-12-15,4,0,0,2876
2022-12-16,5,0,0,3670
2022-12-17,6,0,0,3997
2022-12-18,7,0,1,4341
2022-12-19,1,0,0,1519
2022-12-20,2,1,0,2298
2022-12-21,3,0,0,2586
2022-12-22,4,1,0,3115
2022-12-23,5,0,0,3466
2022-12-24,6,0,0,3875
2022-12-25,7,0,1,4204
2022-12-26,1,0,0,1398
2022-12-27,2,1,0,2189
2022-12-28,3,0,0,2548
2022-12-29,4,0,0,3018
2022-12-30,5,0,0,3591
2022-12-31,6,1,0,4351
